date,dim,plan,pid,title,sku,img,imp,vexp,clk,cost,ctr,cpc,favP,favS,cart,coupon,ord,inq,lead,gmv,roi,leadCost,inqCost,leadCvr,inqCvr
2026-08-01,商品,大客方案,1038912226790,童贝童装2026夏季新款儿童牛仔裤爱心纽扣蝴蝶结儿童休闲日常裤,XX6NZ346,images/1038912226790.jpg,85.0,53.0,1.0,0.0,0.0118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,商品,大客方案,1039176874975,童贝童装2026夏季新款儿童防蚊裤国风艺术感碎花休闲复古灯笼裤,XX6FW304,images/1039176874975.jpg,1093.0,479.0,14.0,15.52,0.0128,1.1086,0.0,0.0,5.0,0.0,1.0,1.0,7.0,58.9,3.7951,2.22,15.52,0.5,0.0714
2026-08-01,商品,大客方案,1039873349136,童贝童装2026夏季新款儿童衬衫天丝柔肤字母印花简约经典翻领上衣,XX6CS155,images/1039873349136.jpg,82.0,52.0,2.0,2.33,0.0244,1.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,商品,大客方案,1040935716450,童贝童装2026夏季新款女童裤套装森系针织背心碎花阔腿裤两件套,XX6KT355K,images/1040935716450.jpg,140.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,商品,大客方案,1042705271653,童贝童装2026夏季新款女童连衣裙花瓣领无袖镂空刺绣花边长裙,XX6LY305,images/1042705271653.jpg,351.0,177.0,7.0,2.71,0.0199,0.3871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,商品,大客方案,1044106122415,童贝童装2026夏季新款儿童休闲裤双层花边蕾丝木耳边灯笼裤,XX6SK339,images/1044106122415.jpg,277.0,138.0,4.0,2.87,0.0144,0.7175,0.0,1.0,2.0,1.0,2.0,0.0,6.0,119.48,41.6307,0.48,0.0,1.5,0.0
2026-08-01,商品,大客方案,1044334830022,童贝童装2026夏季新款女童套装绣花罩衫背心牛仔裤清爽森系两件套,XX6KT363K,images/1044334830022.jpg,172.0,87.0,4.0,2.04,0.0233,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,商品,大客方案,1044357085204,童贝童装2026夏季新款儿童T恤童趣插画印花落肩廓形无袖上衣,XX6TX207,images/1044357085204.jpg,303.0,129.0,5.0,2.19,0.0165,0.438,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.19,0.0,0.2,0.0
2026-08-01,商品,大客方案,1046171504011,【赠泳帽】童贝童装2026夏季新款女童连体泳衣U型露背印花泳装,XX6SW371,images/1046171504011.jpg,2901.0,1054.0,28.0,20.64,0.0097,0.7371,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,6.88,20.64,0.1071,0.0357
2026-08-01,商品,大客方案,1046531776898,童贝童装2026年夏新款儿童活力撞色条纹T恤男女童透气休闲短袖,XX6TX229,images/1046531776898.jpg,65.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,商品,大客方案,1046783326745,童贝童装2026夏季新款女童衬衫精致绣花镂空蕾丝小飞袖娃娃衫,XX6CS223,images/1046783326745.jpg,311.0,191.0,5.0,3.67,0.0161,0.734,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.67,0.0,0.2,0.0
2026-08-01,商品,大客方案,1047100734555,童贝童装2026夏季新款儿童休闲裤侧边彩条透气束脚宽松运动裤,XX6ZK344,images/1047100734555.jpg,39.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,商品,大客方案,1048000871584,童贝童装2026夏季新款儿童休闲裤自然垂坠感高弹束口透气宽松长裤,XX6SK326,images/1048000871584.jpg,40.0,15.0,1.0,0.74,0.025,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,商品,大客方案,1048004735917,童贝童装2026夏季新款女童连衣裙新中式国风温柔感碎花无袖旗袍裙,XX6LY265,images/1048004735917.jpg,1826.0,791.0,21.0,16.01,0.0115,0.7624,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.01,0.0,0.0476,0.0
2026-08-01,商品,大客方案,1048245453846,童贝童装2026夏季新款儿童T恤趣味印花插肩撞色可爱拼接短袖,XX6TX204,images/1048245453846.jpg,160.0,88.0,3.0,0.0,0.0188,0.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,4.3333,0.0
2026-08-01,商品,大客方案,1048954146679,童贝童装2026夏季新款女童连衣裙纯色抽褶现代简约蕾丝拼接背心裙,XX6LY309,images/1048954146679.jpg,588.0,259.0,9.0,4.08,0.0153,0.4533,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.08,0.0,0.1111,0.0
2026-08-01,商品,大客方案,1053764841819,童贝童装2026夏季新款女童裤套装新中式晕染上衣蕾丝九分裤两件套,XX6KT386,images/1053764841819.jpg,992.0,499.0,20.0,12.94,0.0202,0.647,1.0,1.0,5.0,0.0,1.0,0.0,8.0,0.0,0.0,1.62,0.0,0.4,0.0
2026-08-01,商品,大客方案,1063280115876,童贝童装2026年秋季新款儿童T恤童趣拼接撞色创意图案圆领长袖衫,XQ6TX405,images/1063280115876.jpg,135.0,64.0,2.0,2.34,0.0148,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,商品,大客方案,1063529047338,童贝童装2026年秋季新款儿童毛衣创意童趣图案男女童复古针织马甲,XQ6MY441,images/1063529047338.jpg,179.0,97.0,5.0,4.87,0.0279,0.974,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.81,0.0,1.2,0.0
2026-08-01,商品,大客方案,1064147410396,童贝童装2026年秋季新款儿童牛仔裤软牛仔波浪线蘑菇刺绣复古长裤,XQ6NZ533,images/1064147410396.jpg,67.0,40.0,3.0,0.74,0.0448,0.2467,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.25,0.0,1.0,0.0
2026-08-01,商品,大客方案,1064369798064,童贝童装2026年秋季新款儿童卫衣拼接趣味卡通图案男女童长袖上衣,XQ6WY433,images/1064369798064.jpg,62.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
